,Domain,Resolver,Result
10,tiktok.com,Cloudflare,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 54092
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             101     IN      A       161.117.112.172
tiktok.com.             101     IN      A       161.117.70.24
tiktok.com.             101     IN      A       161.117.98.196
tiktok.com.             101     IN      A       161.117.71.12
tiktok.com.             101     IN      A       161.117.96.158
tiktok.com.             101     IN      A       161.117.98.223
tiktok.com.             101     IN      A       161.117.111.4"
11,tiktok.com,Google,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 54092
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             299     IN      A       161.117.111.4
tiktok.com.             299     IN      A       161.117.70.24
tiktok.com.             299     IN      A       161.117.98.196
tiktok.com.             299     IN      A       161.117.71.12
tiktok.com.             299     IN      A       161.117.112.172
tiktok.com.             299     IN      A       161.117.96.158
tiktok.com.             299     IN      A       161.117.98.223"
12,tiktok.com,Hyderabad,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 54092
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 13, ADDITIONAL: 7
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             298     IN      A       161.117.98.196
tiktok.com.             298     IN      A       161.117.70.24
tiktok.com.             298     IN      A       161.117.96.158
tiktok.com.             298     IN      A       161.117.71.12
tiktok.com.             298     IN      A       161.117.98.223
tiktok.com.             298     IN      A       161.117.111.4
tiktok.com.             298     IN      A       161.117.112.172
;; AUTHORITY SECTION:
com.                    42680   IN      NS      m.gtld-servers.net.
com.                    42680   IN      NS      d.gtld-servers.net.
com.                    42680   IN      NS      c.gtld-servers.net.
com.                    42680   IN      NS      j.gtld-servers.net.
com.                    42680   IN      NS      h.gtld-servers.net.
com.                    42680   IN      NS      g.gtld-servers.net.
com.                    42680   IN      NS      b.gtld-servers.net.
com.                    42680   IN      NS      a.gtld-servers.net.
com.                    42680   IN      NS      k.gtld-servers.net.
com.                    42680   IN      NS      i.gtld-servers.net.
com.                    42680   IN      NS      e.gtld-servers.net.
com.                    42680   IN      NS      f.gtld-servers.net.
com.                    42680   IN      NS      l.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41082   IN      A       192.5.6.30
a.gtld-servers.net.     41082   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41082   IN      A       192.33.14.30
b.gtld-servers.net.     41082   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41082   IN      A       192.26.92.30
c.gtld-servers.net.     41082   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5477    IN      A       192.31.80.30"
13,tiktok.com,Chennai,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 54092
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 13, ADDITIONAL: 7
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             298     IN      A       161.117.112.172
tiktok.com.             298     IN      A       161.117.98.196
tiktok.com.             298     IN      A       161.117.98.223
tiktok.com.             298     IN      A       161.117.70.24
tiktok.com.             298     IN      A       161.117.111.4
tiktok.com.             298     IN      A       161.117.71.12
tiktok.com.             298     IN      A       161.117.96.158
;; AUTHORITY SECTION:
com.                    42680   IN      NS      h.gtld-servers.net.
com.                    42680   IN      NS      m.gtld-servers.net.
com.                    42680   IN      NS      b.gtld-servers.net.
com.                    42680   IN      NS      f.gtld-servers.net.
com.                    42680   IN      NS      j.gtld-servers.net.
com.                    42680   IN      NS      e.gtld-servers.net.
com.                    42680   IN      NS      a.gtld-servers.net.
com.                    42680   IN      NS      i.gtld-servers.net.
com.                    42680   IN      NS      d.gtld-servers.net.
com.                    42680   IN      NS      l.gtld-servers.net.
com.                    42680   IN      NS      k.gtld-servers.net.
com.                    42680   IN      NS      g.gtld-servers.net.
com.                    42680   IN      NS      c.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41082   IN      A       192.5.6.30
a.gtld-servers.net.     41082   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41082   IN      A       192.33.14.30
b.gtld-servers.net.     41082   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41082   IN      A       192.26.92.30
c.gtld-servers.net.     41082   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5477    IN      A       192.31.80.30"
14,tiktok.com,Greater Noida,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 54092
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 13, ADDITIONAL: 7
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             297     IN      A       161.117.98.223
tiktok.com.             297     IN      A       161.117.71.12
tiktok.com.             297     IN      A       161.117.98.196
tiktok.com.             297     IN      A       161.117.112.172
tiktok.com.             297     IN      A       161.117.111.4
tiktok.com.             297     IN      A       161.117.70.24
tiktok.com.             297     IN      A       161.117.96.158
;; AUTHORITY SECTION:
com.                    42679   IN      NS      m.gtld-servers.net.
com.                    42679   IN      NS      f.gtld-servers.net.
com.                    42679   IN      NS      a.gtld-servers.net.
com.                    42679   IN      NS      d.gtld-servers.net.
com.                    42679   IN      NS      c.gtld-servers.net.
com.                    42679   IN      NS      l.gtld-servers.net.
com.                    42679   IN      NS      e.gtld-servers.net.
com.                    42679   IN      NS      k.gtld-servers.net.
com.                    42679   IN      NS      j.gtld-servers.net.
com.                    42679   IN      NS      g.gtld-servers.net.
com.                    42679   IN      NS      i.gtld-servers.net.
com.                    42679   IN      NS      h.gtld-servers.net.
com.                    42679   IN      NS      b.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41081   IN      A       192.5.6.30
a.gtld-servers.net.     41081   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41081   IN      A       192.33.14.30
b.gtld-servers.net.     41081   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41081   IN      A       192.26.92.30
c.gtld-servers.net.     41081   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5476    IN      A       192.31.80.30"
15,twitter.com,Cloudflare,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 11907
;; flags: qr rd ra; QUERY: 1, ANSWER: 2, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            307     IN      A       104.244.42.65
twitter.com.            307     IN      A       104.244.42.129"
16,twitter.com,Google,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 11907
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            1591    IN      A       104.244.42.65"
17,twitter.com,Hyderabad,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 11907
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            1360    IN      A       104.244.42.1
;; AUTHORITY SECTION:
com.                    42675   IN      NS      i.gtld-servers.net.
com.                    42675   IN      NS      b.gtld-servers.net.
com.                    42675   IN      NS      a.gtld-servers.net.
com.                    42675   IN      NS      l.gtld-servers.net.
com.                    42675   IN      NS      k.gtld-servers.net.
com.                    42675   IN      NS      g.gtld-servers.net.
com.                    42675   IN      NS      f.gtld-servers.net.
com.                    42675   IN      NS      e.gtld-servers.net.
com.                    42675   IN      NS      m.gtld-servers.net.
com.                    42675   IN      NS      h.gtld-servers.net.
com.                    42675   IN      NS      c.gtld-servers.net.
com.                    42675   IN      NS      d.gtld-servers.net.
com.                    42675   IN      NS      j.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41077   IN      A       192.5.6.30
a.gtld-servers.net.     41077   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41077   IN      A       192.33.14.30
b.gtld-servers.net.     41077   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41077   IN      A       192.26.92.30
c.gtld-servers.net.     41077   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5472    IN      A       192.31.80.30
d.gtld-servers.net.     41077   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41077   IN      A       192.12.94.30
e.gtld-servers.net.     41077   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41077   IN      A       192.35.51.30"
18,twitter.com,Chennai,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 11907
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            1359    IN      A       104.244.42.1
;; AUTHORITY SECTION:
com.                    42674   IN      NS      e.gtld-servers.net.
com.                    42674   IN      NS      c.gtld-servers.net.
com.                    42674   IN      NS      k.gtld-servers.net.
com.                    42674   IN      NS      b.gtld-servers.net.
com.                    42674   IN      NS      h.gtld-servers.net.
com.                    42674   IN      NS      i.gtld-servers.net.
com.                    42674   IN      NS      j.gtld-servers.net.
com.                    42674   IN      NS      a.gtld-servers.net.
com.                    42674   IN      NS      m.gtld-servers.net.
com.                    42674   IN      NS      g.gtld-servers.net.
com.                    42674   IN      NS      f.gtld-servers.net.
com.                    42674   IN      NS      l.gtld-servers.net.
com.                    42674   IN      NS      d.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41076   IN      A       192.5.6.30
a.gtld-servers.net.     41076   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41076   IN      A       192.33.14.30
b.gtld-servers.net.     41076   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41076   IN      A       192.26.92.30
c.gtld-servers.net.     41076   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5471    IN      A       192.31.80.30
d.gtld-servers.net.     41076   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41076   IN      A       192.12.94.30
e.gtld-servers.net.     41076   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41076   IN      A       192.35.51.30"
19,twitter.com,Greater Noida,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 11907
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 13, ADDITIONAL: 11
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            1358    IN      A       104.244.42.1
;; AUTHORITY SECTION:
com.                    42673   IN      NS      c.gtld-servers.net.
com.                    42673   IN      NS      i.gtld-servers.net.
com.                    42673   IN      NS      l.gtld-servers.net.
com.                    42673   IN      NS      d.gtld-servers.net.
com.                    42673   IN      NS      a.gtld-servers.net.
com.                    42673   IN      NS      j.gtld-servers.net.
com.                    42673   IN      NS      b.gtld-servers.net.
com.                    42673   IN      NS      h.gtld-servers.net.
com.                    42673   IN      NS      f.gtld-servers.net.
com.                    42673   IN      NS      g.gtld-servers.net.
com.                    42673   IN      NS      k.gtld-servers.net.
com.                    42673   IN      NS      m.gtld-servers.net.
com.                    42673   IN      NS      e.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41075   IN      A       192.5.6.30
a.gtld-servers.net.     41075   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41075   IN      A       192.33.14.30
b.gtld-servers.net.     41075   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41075   IN      A       192.26.92.30
c.gtld-servers.net.     41075   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     5470    IN      A       192.31.80.30
d.gtld-servers.net.     41075   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41075   IN      A       192.12.94.30
e.gtld-servers.net.     41075   IN      AAAA    2001:502:1ca1::30
f.gtld-servers.net.     41075   IN      A       192.35.51.30"
