,Domain,Resolver,Result
10,tiktok.com,Cloudflare,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 15689
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             4       IN      A       161.117.112.172
tiktok.com.             4       IN      A       161.117.70.24
tiktok.com.             4       IN      A       161.117.111.4
tiktok.com.             4       IN      A       161.117.96.158
tiktok.com.             4       IN      A       161.117.98.223
tiktok.com.             4       IN      A       161.117.71.12
tiktok.com.             4       IN      A       161.117.98.196"
11,tiktok.com,Google,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 15689
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             299     IN      A       161.117.70.24
tiktok.com.             299     IN      A       161.117.96.158
tiktok.com.             299     IN      A       161.117.71.12
tiktok.com.             299     IN      A       161.117.111.4
tiktok.com.             299     IN      A       161.117.112.172
tiktok.com.             299     IN      A       161.117.98.196
tiktok.com.             299     IN      A       161.117.98.223"
12,tiktok.com,Shanghai,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 15689
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 13, ADDITIONAL: 7
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             299     IN      A       161.117.98.223
tiktok.com.             299     IN      A       161.117.112.172
tiktok.com.             299     IN      A       161.117.111.4
tiktok.com.             299     IN      A       161.117.96.158
tiktok.com.             299     IN      A       161.117.98.196
tiktok.com.             299     IN      A       161.117.71.12
tiktok.com.             299     IN      A       161.117.70.24
;; AUTHORITY SECTION:
com.                    42501   IN      NS      i.gtld-servers.net.
com.                    42501   IN      NS      c.gtld-servers.net.
com.                    42501   IN      NS      j.gtld-servers.net.
com.                    42501   IN      NS      l.gtld-servers.net.
com.                    42501   IN      NS      d.gtld-servers.net.
com.                    42501   IN      NS      h.gtld-servers.net.
com.                    42501   IN      NS      m.gtld-servers.net.
com.                    42501   IN      NS      b.gtld-servers.net.
com.                    42501   IN      NS      a.gtld-servers.net.
com.                    42501   IN      NS      g.gtld-servers.net.
com.                    42501   IN      NS      e.gtld-servers.net.
com.                    42501   IN      NS      f.gtld-servers.net.
com.                    42501   IN      NS      k.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41148   IN      A       192.5.6.30
a.gtld-servers.net.     41148   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41148   IN      A       192.33.14.30
b.gtld-servers.net.     41148   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41148   IN      A       192.26.92.30
c.gtld-servers.net.     41148   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41148   IN      A       192.31.80.30"
13,tiktok.com,Shenzen,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 15689
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 13, ADDITIONAL: 7
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             298     IN      A       161.117.98.196
tiktok.com.             298     IN      A       161.117.98.223
tiktok.com.             298     IN      A       161.117.70.24
tiktok.com.             298     IN      A       161.117.96.158
tiktok.com.             298     IN      A       161.117.111.4
tiktok.com.             298     IN      A       161.117.112.172
tiktok.com.             298     IN      A       161.117.71.12
;; AUTHORITY SECTION:
com.                    42500   IN      NS      e.gtld-servers.net.
com.                    42500   IN      NS      a.gtld-servers.net.
com.                    42500   IN      NS      l.gtld-servers.net.
com.                    42500   IN      NS      m.gtld-servers.net.
com.                    42500   IN      NS      j.gtld-servers.net.
com.                    42500   IN      NS      i.gtld-servers.net.
com.                    42500   IN      NS      c.gtld-servers.net.
com.                    42500   IN      NS      d.gtld-servers.net.
com.                    42500   IN      NS      b.gtld-servers.net.
com.                    42500   IN      NS      g.gtld-servers.net.
com.                    42500   IN      NS      h.gtld-servers.net.
com.                    42500   IN      NS      k.gtld-servers.net.
com.                    42500   IN      NS      f.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41147   IN      A       192.5.6.30
a.gtld-servers.net.     41147   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41147   IN      A       192.33.14.30
b.gtld-servers.net.     41147   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41147   IN      A       192.26.92.30
c.gtld-servers.net.     41147   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41147   IN      A       192.31.80.30"
14,tiktok.com,Alibaba,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 15689
;; flags: qr rd ra; QUERY: 1, ANSWER: 7, AUTHORITY: 13, ADDITIONAL: 7
;; QUESTION SECTION:
;tiktok.com.                    IN      A
;; ANSWER SECTION:
tiktok.com.             298     IN      A       161.117.98.223
tiktok.com.             298     IN      A       161.117.112.172
tiktok.com.             298     IN      A       161.117.96.158
tiktok.com.             298     IN      A       161.117.111.4
tiktok.com.             298     IN      A       161.117.70.24
tiktok.com.             298     IN      A       161.117.98.196
tiktok.com.             298     IN      A       161.117.71.12
;; AUTHORITY SECTION:
com.                    42500   IN      NS      e.gtld-servers.net.
com.                    42500   IN      NS      a.gtld-servers.net.
com.                    42500   IN      NS      k.gtld-servers.net.
com.                    42500   IN      NS      b.gtld-servers.net.
com.                    42500   IN      NS      i.gtld-servers.net.
com.                    42500   IN      NS      l.gtld-servers.net.
com.                    42500   IN      NS      f.gtld-servers.net.
com.                    42500   IN      NS      h.gtld-servers.net.
com.                    42500   IN      NS      c.gtld-servers.net.
com.                    42500   IN      NS      g.gtld-servers.net.
com.                    42500   IN      NS      m.gtld-servers.net.
com.                    42500   IN      NS      d.gtld-servers.net.
com.                    42500   IN      NS      j.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41147   IN      A       192.5.6.30
a.gtld-servers.net.     41147   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41147   IN      A       192.33.14.30
b.gtld-servers.net.     41147   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41147   IN      A       192.26.92.30
c.gtld-servers.net.     41147   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41147   IN      A       192.31.80.30"
15,twitter.com,Cloudflare,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 48793
;; flags: qr rd ra; QUERY: 1, ANSWER: 1, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            1302    IN      A       104.244.42.65"
16,twitter.com,Google,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 48793
;; flags: qr rd ra; QUERY: 1, ANSWER: 2, AUTHORITY: 0, ADDITIONAL: 0
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            1405    IN      A       104.244.42.129
twitter.com.            1405    IN      A       104.244.42.1"
17,twitter.com,Shanghai,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 48793
;; flags: qr rd ra; QUERY: 1, ANSWER: 2, AUTHORITY: 13, ADDITIONAL: 10
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            929     IN      A       104.244.42.129
twitter.com.            929     IN      A       104.244.42.1
;; AUTHORITY SECTION:
com.                    42493   IN      NS      b.gtld-servers.net.
com.                    42493   IN      NS      j.gtld-servers.net.
com.                    42493   IN      NS      d.gtld-servers.net.
com.                    42493   IN      NS      e.gtld-servers.net.
com.                    42493   IN      NS      k.gtld-servers.net.
com.                    42493   IN      NS      g.gtld-servers.net.
com.                    42493   IN      NS      f.gtld-servers.net.
com.                    42493   IN      NS      m.gtld-servers.net.
com.                    42493   IN      NS      h.gtld-servers.net.
com.                    42493   IN      NS      a.gtld-servers.net.
com.                    42493   IN      NS      l.gtld-servers.net.
com.                    42493   IN      NS      c.gtld-servers.net.
com.                    42493   IN      NS      i.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41140   IN      A       192.5.6.30
a.gtld-servers.net.     41140   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41140   IN      A       192.33.14.30
b.gtld-servers.net.     41140   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41140   IN      A       192.26.92.30
c.gtld-servers.net.     41140   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41140   IN      A       192.31.80.30
d.gtld-servers.net.     41140   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41140   IN      A       192.12.94.30
e.gtld-servers.net.     41140   IN      AAAA    2001:502:1ca1::30"
18,twitter.com,Shenzen,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 48793
;; flags: qr rd ra; QUERY: 1, ANSWER: 2, AUTHORITY: 13, ADDITIONAL: 10
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            928     IN      A       104.244.42.1
twitter.com.            928     IN      A       104.244.42.129
;; AUTHORITY SECTION:
com.                    42492   IN      NS      i.gtld-servers.net.
com.                    42492   IN      NS      f.gtld-servers.net.
com.                    42492   IN      NS      a.gtld-servers.net.
com.                    42492   IN      NS      m.gtld-servers.net.
com.                    42492   IN      NS      g.gtld-servers.net.
com.                    42492   IN      NS      c.gtld-servers.net.
com.                    42492   IN      NS      l.gtld-servers.net.
com.                    42492   IN      NS      d.gtld-servers.net.
com.                    42492   IN      NS      h.gtld-servers.net.
com.                    42492   IN      NS      k.gtld-servers.net.
com.                    42492   IN      NS      b.gtld-servers.net.
com.                    42492   IN      NS      e.gtld-servers.net.
com.                    42492   IN      NS      j.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41139   IN      A       192.5.6.30
a.gtld-servers.net.     41139   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41139   IN      A       192.33.14.30
b.gtld-servers.net.     41139   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41139   IN      A       192.26.92.30
c.gtld-servers.net.     41139   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41139   IN      A       192.31.80.30
d.gtld-servers.net.     41139   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41139   IN      A       192.12.94.30
e.gtld-servers.net.     41139   IN      AAAA    2001:502:1ca1::30"
19,twitter.com,Alibaba,";; ->>HEADER<<- opcode: QUERY, status: NOERROR, id: 48793
;; flags: qr rd ra; QUERY: 1, ANSWER: 2, AUTHORITY: 13, ADDITIONAL: 10
;; QUESTION SECTION:
;twitter.com.                   IN      A
;; ANSWER SECTION:
twitter.com.            928     IN      A       104.244.42.1
twitter.com.            928     IN      A       104.244.42.129
;; AUTHORITY SECTION:
com.                    42492   IN      NS      l.gtld-servers.net.
com.                    42492   IN      NS      c.gtld-servers.net.
com.                    42492   IN      NS      i.gtld-servers.net.
com.                    42492   IN      NS      g.gtld-servers.net.
com.                    42492   IN      NS      h.gtld-servers.net.
com.                    42492   IN      NS      m.gtld-servers.net.
com.                    42492   IN      NS      k.gtld-servers.net.
com.                    42492   IN      NS      b.gtld-servers.net.
com.                    42492   IN      NS      a.gtld-servers.net.
com.                    42492   IN      NS      e.gtld-servers.net.
com.                    42492   IN      NS      j.gtld-servers.net.
com.                    42492   IN      NS      f.gtld-servers.net.
com.                    42492   IN      NS      d.gtld-servers.net.
;; ADDITIONAL SECTION:
a.gtld-servers.net.     41139   IN      A       192.5.6.30
a.gtld-servers.net.     41139   IN      AAAA    2001:503:a83e::2:30
b.gtld-servers.net.     41139   IN      A       192.33.14.30
b.gtld-servers.net.     41139   IN      AAAA    2001:503:231d::2:30
c.gtld-servers.net.     41139   IN      A       192.26.92.30
c.gtld-servers.net.     41139   IN      AAAA    2001:503:83eb::30
d.gtld-servers.net.     41139   IN      A       192.31.80.30
d.gtld-servers.net.     41139   IN      AAAA    2001:500:856e::30
e.gtld-servers.net.     41139   IN      A       192.12.94.30
e.gtld-servers.net.     41139   IN      AAAA    2001:502:1ca1::30"
