,Time
0,0.2216329574584961
1,0.045118093490600586
2,0.04516315460205078
3,0.0529017448425293
4,0.04825878143310547
5,0.037127017974853516
6,0.04233503341674805
7,0.04194378852844238
8,0.03884530067443848
9,0.04829001426696777
10,0.03874015808105469
11,0.037094831466674805
12,0.03804492950439453
13,0.040789127349853516
14,0.039055824279785156
15,0.038786888122558594
16,0.03750014305114746
17,0.04525399208068848
18,0.04110908508300781
19,0.037262916564941406
20,0.03712725639343262
21,0.040151119232177734
22,0.037322044372558594
23,0.039914846420288086
24,0.038023948669433594
25,0.03668808937072754
26,0.036847829818725586
27,0.04288983345031738
28,0.03717803955078125
29,0.039457082748413086
30,0.03928112983703613
31,0.038967132568359375
32,0.04763913154602051
33,0.04940009117126465
34,0.04131197929382324
35,0.044365644454956055
36,0.03675127029418945
37,0.047322988510131836
38,0.038314104080200195
39,0.0407562255859375
40,0.04000496864318848
41,0.04124307632446289
42,0.04063105583190918
43,0.039736032485961914
44,0.04154396057128906
45,0.037725210189819336
46,0.05513191223144531
47,0.037177085876464844
48,0.037072181701660156
49,0.0385129451751709
50,0.0501248836517334
51,0.03598594665527344
52,0.03647494316101074
53,0.047122955322265625
54,0.04056811332702637
55,0.036255836486816406
56,0.03842306137084961
57,0.038497209548950195
58,0.03651881217956543
59,0.038001060485839844
60,0.04120898246765137
61,0.06090807914733887
62,0.04857969284057617
63,0.03853487968444824
64,0.035788774490356445
65,0.03959012031555176
66,0.04025697708129883
67,0.03879594802856445
68,0.037821054458618164
69,0.04487919807434082
70,0.04673504829406738
71,0.04160785675048828
72,0.04132890701293945
73,0.047119140625
74,0.03918099403381348
75,0.0489048957824707
76,0.03701424598693848
77,0.038641929626464844
78,0.04451918601989746
79,0.035909175872802734
80,0.03866004943847656
81,0.040287017822265625
82,0.03859400749206543
83,0.037313222885131836
84,0.040162086486816406
85,0.04310297966003418
86,0.04272103309631348
87,0.04044818878173828
88,0.040570974349975586
89,0.05812668800354004
90,0.03897500038146973
91,0.05324602127075195
92,0.04107785224914551
93,0.03741002082824707
94,0.054476022720336914
95,0.06287097930908203
96,0.05250096321105957
97,0.2480781078338623
98,0.044026851654052734
99,0.040402889251708984
