,Time
0,0.009348869323730469
1,0.013509988784790039
2,0.009329795837402344
3,0.009886980056762695
4,0.012455940246582031
5,0.017088890075683594
6,0.017080068588256836
7,0.010105133056640625
8,0.010133981704711914
9,0.009240150451660156
10,0.00893092155456543
11,0.008935213088989258
12,0.016505718231201172
13,0.009465932846069336
14,0.010416030883789062
15,0.010183095932006836
16,0.016226768493652344
17,0.018300294876098633
18,0.010303258895874023
19,0.010403156280517578
20,0.01011204719543457
21,0.012057781219482422
22,0.019871234893798828
23,0.010083913803100586
24,0.01025390625
25,0.011138916015625
26,0.01594996452331543
27,0.016216278076171875
28,0.01626300811767578
29,0.01668381690979004
30,0.012305021286010742
31,0.01592707633972168
32,0.01695418357849121
33,0.021507978439331055
34,0.021051883697509766
35,0.010909318923950195
36,0.017048120498657227
37,0.009268045425415039
38,0.0180511474609375
39,0.010617971420288086
40,0.013613224029541016
41,0.010058403015136719
42,0.011739969253540039
43,0.01803112030029297
44,0.010181903839111328
45,0.009238958358764648
46,0.010312080383300781
47,0.009927988052368164
48,0.009006738662719727
49,0.010082006454467773
50,0.017368793487548828
51,0.01587390899658203
52,0.014223814010620117
53,0.010239839553833008
54,0.016183137893676758
55,0.01965808868408203
56,0.009589195251464844
57,0.015017986297607422
58,0.009626150131225586
59,0.010402917861938477
60,0.02306509017944336
61,0.018173933029174805
62,0.013605117797851562
63,0.009254932403564453
64,0.010324239730834961
65,0.0091400146484375
66,0.010724306106567383
67,0.010639190673828125
68,0.01631784439086914
69,0.009790897369384766
70,0.01618218421936035
71,0.012206077575683594
72,0.009597301483154297
73,0.009329080581665039
74,0.010700225830078125
75,0.012454986572265625
76,0.01870107650756836
77,0.01641702651977539
78,0.00968313217163086
79,0.01619100570678711
80,0.010273933410644531
81,0.010518074035644531
82,0.010371923446655273
83,0.021558046340942383
84,0.010833024978637695
85,0.011282920837402344
86,0.009202957153320312
87,0.010179996490478516
88,0.009286880493164062
89,0.019217967987060547
90,0.010411739349365234
91,0.018272876739501953
92,0.009608745574951172
93,0.01766204833984375
94,0.019225120544433594
95,0.00950479507446289
96,0.010375261306762695
97,0.010322093963623047
98,0.009562015533447266
99,0.016865968704223633
