,Time
0,0.37293171882629395
1,0.04314684867858887
2,0.049859046936035156
3,0.04302501678466797
4,0.05488991737365723
5,0.04197287559509277
6,0.044152021408081055
7,0.036730051040649414
8,0.03994107246398926
9,0.03757500648498535
10,0.03629016876220703
11,0.04917716979980469
12,0.04028797149658203
13,0.03777909278869629
14,0.044358015060424805
15,0.040984153747558594
16,0.06315994262695312
17,0.05600309371948242
18,0.04546380043029785
19,0.046009063720703125
20,0.04346609115600586
21,0.03855299949645996
22,0.04735589027404785
23,0.04076385498046875
24,0.04144096374511719
25,0.04514122009277344
26,0.04720568656921387
27,0.05100417137145996
28,0.039318084716796875
29,0.036492109298706055
30,0.0387420654296875
31,0.053743839263916016
32,0.04642295837402344
33,0.03772902488708496
34,0.03884315490722656
35,0.04203391075134277
36,0.04978775978088379
37,0.042900800704956055
38,0.03780984878540039
39,0.04233098030090332
40,0.039130210876464844
41,0.040151119232177734
42,0.04132413864135742
43,0.040225982666015625
44,0.03786492347717285
45,0.05654025077819824
46,0.05892491340637207
47,0.038382768630981445
48,0.039389848709106445
49,0.03753185272216797
50,0.037651777267456055
51,0.04235386848449707
52,0.03870987892150879
53,0.03688192367553711
54,0.04308032989501953
55,0.04378962516784668
56,0.035986900329589844
57,0.04444003105163574
58,0.040567874908447266
59,0.0403139591217041
60,0.06531405448913574
61,0.04144692420959473
62,0.04830789566040039
63,0.04478597640991211
64,0.03762197494506836
65,0.040010929107666016
66,1.045220136642456
67,0.042730093002319336
68,0.036985158920288086
69,0.03743624687194824
70,0.048792123794555664
71,0.0390620231628418
72,0.03892993927001953
73,0.03870797157287598
74,0.04785799980163574
75,0.053260087966918945
76,0.04317188262939453
77,0.047666311264038086
78,0.04674029350280762
79,0.04576516151428223
80,0.03593802452087402
81,0.0889890193939209
82,0.048844099044799805
83,0.039125919342041016
84,0.04630112648010254
85,0.039376020431518555
86,0.03762006759643555
87,0.046604156494140625
88,0.040657758712768555
89,0.03759598731994629
90,0.04492902755737305
91,0.06864500045776367
92,0.033840179443359375
93,0.07885599136352539
94,0.037550926208496094
95,0.04518389701843262
96,0.048113346099853516
97,0.03914976119995117
98,0.048686981201171875
99,0.043081045150756836
