,Time
0,0.003576040267944336
1,0.0035970211029052734
2,0.0054149627685546875
3,0.0037550926208496094
4,0.0035889148712158203
5,0.00409698486328125
6,0.003386974334716797
7,0.0036661624908447266
8,0.0036530494689941406
9,0.008213043212890625
10,0.0058329105377197266
11,0.003452777862548828
12,0.003512859344482422
13,0.004639148712158203
14,0.006226062774658203
15,0.003358125686645508
16,0.003458738327026367
17,0.003629922866821289
18,0.00339508056640625
19,0.007544040679931641
20,0.0036439895629882812
21,0.011640071868896484
22,0.0037126541137695312
23,0.004006147384643555
24,0.005397796630859375
25,0.007154941558837891
26,0.0036551952362060547
27,0.003587007522583008
28,0.00357818603515625
29,0.0035829544067382812
30,0.0052030086517333984
31,0.059860944747924805
32,0.003528118133544922
33,0.003383159637451172
34,0.0035278797149658203
35,0.0035789012908935547
36,0.006936073303222656
37,0.0035729408264160156
38,0.0073070526123046875
39,0.003634929656982422
40,0.0035400390625
41,0.0035042762756347656
42,0.005686044692993164
43,0.003711223602294922
44,0.008383989334106445
45,0.0035538673400878906
46,0.0039632320404052734
47,0.0034339427947998047
48,0.003651857376098633
49,0.0034530162811279297
50,0.005795955657958984
51,0.003796815872192383
52,0.0033500194549560547
53,0.005083799362182617
54,0.007776021957397461
55,0.0035140514373779297
56,0.003337860107421875
57,0.003547191619873047
58,0.0036149024963378906
59,0.005691051483154297
60,0.0033380985260009766
61,0.006206035614013672
62,0.0087738037109375
63,0.003673076629638672
64,0.0034151077270507812
65,0.0037229061126708984
66,0.0033621788024902344
67,0.0033648014068603516
68,0.003459930419921875
69,0.00345611572265625
70,0.003551959991455078
71,0.009732723236083984
72,0.0032613277435302734
73,0.006218910217285156
74,0.005263090133666992
75,0.0034372806549072266
76,0.0034258365631103516
77,0.005426168441772461
78,0.006351947784423828
79,0.0033729076385498047
80,0.0034689903259277344
81,0.003535747528076172
82,0.0032358169555664062
83,0.005316257476806641
84,0.0037178993225097656
85,0.007525920867919922
86,0.004474163055419922
87,0.003551006317138672
88,0.0034759044647216797
89,0.005838871002197266
90,0.0068359375
91,0.003731966018676758
92,0.0052089691162109375
93,0.003309965133666992
94,0.005312919616699219
95,0.003332853317260742
96,0.003359079360961914
97,0.0052318572998046875
98,0.02246713638305664
99,0.0056459903717041016
