,Time
0,0.26029419898986816
1,0.2713477611541748
2,0.8763270378112793
3,0.2736971378326416
4,0.12614011764526367
5,0.11256909370422363
6,0.26534390449523926
7,0.26506590843200684
8,0.25841689109802246
9,0.2978999614715576
10,0.35120582580566406
11,0.26648807525634766
12,0.12058877944946289
13,0.26623988151550293
14,0.2935609817504883
15,0.10764288902282715
16,0.11038517951965332
17,0.10738420486450195
18,0.11195898056030273
19,0.26087117195129395
20,0.10776090621948242
21,0.14183902740478516
22,0.10874700546264648
23,0.10510516166687012
24,0.11792898178100586
25,0.10544800758361816
26,0.11646509170532227
27,0.27909183502197266
28,0.12181282043457031
29,0.12915492057800293
30,0.27253198623657227
31,0.11539101600646973
32,0.11119794845581055
33,0.26655006408691406
34,0.11274218559265137
35,0.11222386360168457
36,0.12540078163146973
37,0.11007499694824219
38,0.1047370433807373
39,0.2787630558013916
40,0.11692380905151367
41,0.1071779727935791
42,0.11239385604858398
43,0.10762310028076172
44,0.11908602714538574
45,0.11250782012939453
46,0.13160300254821777
47,0.2573251724243164
48,0.11012005805969238
49,0.10774707794189453
50,0.12381196022033691
51,0.10740423202514648
52,0.11146211624145508
53,0.2645890712738037
54,0.12221312522888184
55,0.10457706451416016
56,0.2624380588531494
57,0.2679328918457031
58,0.13682198524475098
59,0.13811206817626953
60,0.12303423881530762
61,0.1268632411956787
62,0.1557331085205078
63,0.11434197425842285
64,0.16356801986694336
65,0.12607598304748535
66,0.130540132522583
67,0.11078476905822754
68,0.11970186233520508
69,0.11780095100402832
70,0.11749815940856934
71,1.2705309391021729
72,0.11628985404968262
73,0.11029791831970215
74,0.1033318042755127
75,0.2720658779144287
76,0.12012386322021484
77,0.11048197746276855
78,0.10494470596313477
79,0.10752487182617188
80,0.10498881340026855
81,0.09885787963867188
82,0.3411531448364258
83,0.11081099510192871
84,0.1774301528930664
85,0.1161501407623291
86,0.11290287971496582
87,0.12083888053894043
88,0.1009068489074707
89,0.10195684432983398
90,0.11140084266662598
91,0.12724614143371582
92,0.1057898998260498
93,0.10865998268127441
94,0.10794281959533691
95,0.10574007034301758
96,0.11219096183776855
97,0.11914277076721191
98,0.1091001033782959
99,0.12555909156799316
