,Time
0,0.030020713806152344
1,0.041477203369140625
2,0.023209810256958008
3,0.03027200698852539
4,0.030302047729492188
5,0.031404972076416016
6,0.032115936279296875
7,0.021847009658813477
8,0.021662235260009766
9,0.024682998657226562
10,0.022703170776367188
11,0.036535024642944336
12,0.028462886810302734
13,0.021931171417236328
14,0.023554086685180664
15,0.027163982391357422
16,0.02202630043029785
17,0.02487778663635254
18,0.021754980087280273
19,0.022205114364624023
20,0.021697044372558594
21,0.021953105926513672
22,0.024686098098754883
23,0.021986961364746094
24,0.021759986877441406
25,0.021776199340820312
26,0.02179574966430664
27,0.02259516716003418
28,0.022774934768676758
29,0.0219419002532959
30,0.021720170974731445
31,0.02318096160888672
32,0.04021406173706055
33,0.021818161010742188
34,0.02205801010131836
35,0.024003028869628906
36,0.029638051986694336
37,0.03265810012817383
38,0.021778345108032227
39,0.023635149002075195
40,0.0216672420501709
41,0.02196192741394043
42,0.021944046020507812
43,0.021914958953857422
44,0.02176499366760254
45,0.022127151489257812
46,0.02458977699279785
47,0.02179098129272461
48,0.021988868713378906
49,0.023647069931030273
50,0.021860122680664062
51,0.021741867065429688
52,0.021743059158325195
53,0.021793127059936523
54,0.021842002868652344
55,0.02197408676147461
56,0.021931886672973633
57,0.023758888244628906
58,0.02528095245361328
59,0.0326540470123291
60,0.02176690101623535
61,0.02185201644897461
62,0.02253413200378418
63,0.023686885833740234
64,0.026237964630126953
65,0.021825075149536133
66,0.024480104446411133
67,0.021873950958251953
68,0.021870851516723633
69,0.02173590660095215
70,0.021963119506835938
71,0.02190089225769043
72,0.021765708923339844
73,0.021821975708007812
74,0.021885156631469727
75,0.02593517303466797
76,0.02177596092224121
77,0.0245211124420166
78,0.022775650024414062
79,0.02203083038330078
80,0.025227069854736328
81,0.02667379379272461
82,0.025706052780151367
83,0.021768808364868164
84,0.02255988121032715
85,0.021889925003051758
86,0.02171182632446289
87,0.025587797164916992
88,0.022107839584350586
89,0.026256084442138672
90,0.021696090698242188
91,0.025549888610839844
92,0.02177906036376953
93,0.022910118103027344
94,0.044970035552978516
95,0.02254486083984375
96,0.021873950958251953
97,0.02185988426208496
98,0.021744728088378906
99,0.027010679244995117
