,Time
0,0.016654014587402344
1,0.011636972427368164
2,0.014207124710083008
3,0.010343313217163086
4,0.01659226417541504
5,0.009216070175170898
6,0.016561269760131836
7,0.009266138076782227
8,0.015920162200927734
9,0.010161876678466797
10,0.010187149047851562
11,0.015978097915649414
12,0.01075887680053711
13,0.0230100154876709
14,0.016365766525268555
15,0.015702009201049805
16,0.01640915870666504
17,0.016499996185302734
18,0.009336233139038086
19,0.013404130935668945
20,0.01374197006225586
21,0.009221792221069336
22,0.016069889068603516
23,0.010385990142822266
24,0.0
25,0.0
26,0.01489400863647461
27,0.016464948654174805
28,0.011646032333374023
29,0.010222673416137695
30,0.01876974105834961
31,0.010136842727661133
32,0.010406732559204102
33,0.016269922256469727
34,0.009418964385986328
35,0.013390064239501953
36,0.015427112579345703
37,0.01037907600402832
38,0.01067972183227539
39,0.015630722045898438
40,0.016483783721923828
41,0.016833066940307617
42,0.010182857513427734
43,0.012374162673950195
44,0.026437044143676758
45,0.017286062240600586
46,0.013716936111450195
47,0.009283065795898438
48,0.016540050506591797
49,0.011441230773925781
50,0.01695108413696289
51,0.010593652725219727
52,0.016044139862060547
53,0.009830236434936523
54,0.019871950149536133
55,0.009588956832885742
56,0.011322021484375
57,0.012557744979858398
58,0.016934871673583984
59,0.016123056411743164
60,0.014868021011352539
61,0.01699686050415039
62,0.013050079345703125
63,0.010251045227050781
64,0.014716863632202148
65,0.009432077407836914
66,0.016258716583251953
67,0.014398336410522461
68,0.009408950805664062
69,0.016283035278320312
70,0.017467260360717773
71,0.010412216186523438
72,0.009857892990112305
73,0.012929201126098633
74,0.010291099548339844
75,0.016258716583251953
76,0.011955022811889648
77,0.013777732849121094
78,0.020470142364501953
79,0.010442972183227539
80,0.009470939636230469
81,0.010529756546020508
82,0.010397911071777344
83,0.010345220565795898
84,0.010504007339477539
85,0.016325950622558594
86,0.009863138198852539
87,0.019842147827148438
88,0.010411739349365234
89,0.016086101531982422
90,0.010430097579956055
91,0.01078486442565918
92,0.009322881698608398
93,0.013551950454711914
94,0.016615867614746094
95,0.021622180938720703
96,0.009468793869018555
97,0.009302139282226562
98,0.019820213317871094
99,0.011029243469238281
