,Time
0,0.09682202339172363
1,0.037444114685058594
2,0.03447890281677246
3,0.04178190231323242
4,0.04192209243774414
5,0.03714895248413086
6,0.0436100959777832
7,0.038123130798339844
8,0.04828906059265137
9,0.04820609092712402
10,0.04709291458129883
11,0.06436610221862793
12,0.1541748046875
13,0.03719496726989746
14,0.03500008583068848
15,0.03602719306945801
16,0.042634010314941406
17,0.03780984878540039
18,0.04248809814453125
19,0.04349517822265625
20,0.040763139724731445
21,0.06315493583679199
22,0.035511016845703125
23,0.03589487075805664
24,0.03862619400024414
25,0.036746978759765625
26,0.03558921813964844
27,0.0341181755065918
28,0.04222702980041504
29,0.035047054290771484
30,0.03775596618652344
31,0.03822493553161621
32,0.0569310188293457
33,0.038990020751953125
34,0.035687923431396484
35,0.05121278762817383
36,0.0422821044921875
37,0.039808034896850586
38,0.045053958892822266
39,0.0571751594543457
40,0.03568100929260254
41,0.0334620475769043
42,0.04169511795043945
43,0.05020427703857422
44,0.038211822509765625
45,0.07069706916809082
46,0.06033205986022949
47,0.036219120025634766
48,0.06849098205566406
49,0.0361018180847168
50,0.037293195724487305
51,0.03605318069458008
52,0.04956626892089844
53,0.03976011276245117
54,0.04720115661621094
55,0.060410261154174805
56,0.034644126892089844
57,0.040227651596069336
58,0.035553693771362305
59,0.03709220886230469
60,0.035529136657714844
61,0.039789676666259766
62,0.060652732849121094
63,0.036936044692993164
64,0.03499603271484375
65,0.038912057876586914
66,0.03977012634277344
67,0.03740501403808594
68,0.03841900825500488
69,0.040886878967285156
70,0.03338122367858887
71,0.03908085823059082
72,0.03647017478942871
73,0.038323163986206055
74,0.03632211685180664
75,0.03840899467468262
76,0.03743290901184082
77,0.05125999450683594
78,0.04623103141784668
79,0.03396201133728027
80,0.03792691230773926
81,0.039386749267578125
82,0.04004693031311035
83,0.03611397743225098
84,0.03774118423461914
85,0.03475499153137207
86,0.03842306137084961
87,0.037921905517578125
88,0.03964114189147949
89,0.0369720458984375
90,0.03823995590209961
91,0.037019968032836914
92,0.05323600769042969
93,0.0457921028137207
94,0.03835797309875488
95,0.037776947021484375
96,0.03658485412597656
97,0.03812575340270996
98,0.03748178482055664
99,0.03823375701904297
