,Time
0,0.026721715927124023
1,0.03351926803588867
2,0.017217159271240234
3,0.019298076629638672
4,0.015795230865478516
5,0.015967130661010742
6,0.016355037689208984
7,0.015954971313476562
8,0.028458118438720703
9,0.016031980514526367
10,0.016205787658691406
11,0.016068696975708008
12,0.01884293556213379
13,0.01598978042602539
14,0.01609182357788086
15,0.015763044357299805
16,0.016056060791015625
17,0.01574993133544922
18,0.018096923828125
19,0.01585674285888672
20,0.015867948532104492
21,0.015925884246826172
22,0.01841902732849121
23,0.016101837158203125
24,0.020250797271728516
25,0.016072988510131836
26,0.016987085342407227
27,0.016000986099243164
28,0.02421712875366211
29,0.019221067428588867
30,0.016369342803955078
31,0.016443729400634766
32,0.017360210418701172
33,0.015810012817382812
34,0.015841007232666016
35,0.01697826385498047
36,0.015791893005371094
37,0.01781010627746582
38,0.015717029571533203
39,0.015854835510253906
40,0.016139984130859375
41,0.016162633895874023
42,0.0158231258392334
43,0.015825986862182617
44,0.019581079483032227
45,0.017772912979125977
46,0.019392013549804688
47,0.01608109474182129
48,0.016061782836914062
49,0.01588916778564453
50,0.017132043838500977
51,0.016659021377563477
52,0.01579880714416504
53,0.015963315963745117
54,0.015826940536499023
55,0.01661992073059082
56,0.01575493812561035
57,0.016583919525146484
58,0.025934696197509766
59,0.016326904296875
60,0.01751089096069336
61,0.03197503089904785
62,0.018804073333740234
63,0.01742410659790039
64,0.01896524429321289
65,0.015941143035888672
66,0.015887975692749023
67,0.016167879104614258
68,0.015903949737548828
69,0.017805814743041992
70,0.015885114669799805
71,0.019259214401245117
72,0.017970800399780273
73,0.015826940536499023
74,0.01842188835144043
75,0.015887737274169922
76,0.018580913543701172
77,0.016989946365356445
78,0.017278194427490234
79,0.016026973724365234
80,0.015913963317871094
81,0.016075849533081055
82,0.016633033752441406
83,0.017153024673461914
84,0.015851974487304688
85,0.016401052474975586
86,0.022997140884399414
87,0.017327070236206055
88,0.01587677001953125
89,0.015753984451293945
90,0.016645193099975586
91,0.016026735305786133
92,0.01598072052001953
93,0.01625514030456543
94,0.0160372257232666
95,0.016543149948120117
96,0.015818119049072266
97,0.017873048782348633
98,0.016122102737426758
99,0.01895308494567871
