,Time
0,0.1244821548461914
1,0.10684084892272949
2,0.10396504402160645
3,0.11765098571777344
4,0.10863804817199707
5,0.1140749454498291
6,0.10401606559753418
7,0.11889886856079102
8,0.11944580078125
9,0.11498403549194336
10,0.11209869384765625
11,0.11317205429077148
12,0.12580418586730957
13,0.1122739315032959
14,0.10636591911315918
15,0.10190486907958984
16,0.10216093063354492
17,0.10524916648864746
18,0.12331485748291016
19,0.1048734188079834
20,0.11922287940979004
21,0.11728596687316895
22,0.11976504325866699
23,0.10539603233337402
24,0.10985493659973145
25,0.11958813667297363
26,0.09858393669128418
27,0.1001279354095459
28,0.1018071174621582
29,0.11326098442077637
30,0.10755181312561035
31,0.10989999771118164
32,0.10405087471008301
33,0.11556410789489746
34,0.10256409645080566
35,0.10943794250488281
36,0.10452389717102051
37,0.11600017547607422
38,0.10459184646606445
39,0.10180902481079102
40,0.1053309440612793
41,0.11271786689758301
42,1.1151890754699707
43,0.14767217636108398
44,0.13247895240783691
45,0.10455703735351562
46,0.11744499206542969
47,0.11530089378356934
48,0.10213589668273926
49,0.11690998077392578
50,0.10329699516296387
51,0.1161947250366211
52,0.10574984550476074
53,0.1120290756225586
54,0.1275618076324463
55,0.11901092529296875
56,0.1135859489440918
57,0.11501193046569824
58,0.11220598220825195
59,0.11585688591003418
60,0.10889720916748047
61,0.11953592300415039
62,0.11770224571228027
63,0.11099481582641602
64,0.12556004524230957
65,0.10006499290466309
66,0.11793303489685059
67,0.10896921157836914
68,0.1107490062713623
69,0.11680316925048828
70,0.11171984672546387
71,0.11583828926086426
72,0.10879397392272949
73,0.10471510887145996
74,0.11065506935119629
75,0.10792922973632812
76,0.10179686546325684
77,0.11892890930175781
78,0.11095285415649414
79,0.10523295402526855
80,0.10848093032836914
81,0.12983393669128418
82,0.11093306541442871
83,0.11230015754699707
84,0.11054491996765137
85,0.11592984199523926
86,0.10355925559997559
87,0.10399580001831055
88,0.12479829788208008
89,0.1086280345916748
90,0.11904621124267578
91,0.17864775657653809
92,0.10971379280090332
93,0.1211099624633789
94,0.1216580867767334
95,0.11505889892578125
96,0.10433578491210938
97,0.1349949836730957
98,0.1230020523071289
99,0.10389876365661621
