,Time
0,0.02241373062133789
1,0.031096935272216797
2,0.04232287406921387
3,0.039176225662231445
4,0.03392982482910156
5,0.021850109100341797
6,0.03425168991088867
7,0.021795034408569336
8,0.0403447151184082
9,0.02460312843322754
10,0.02192091941833496
11,0.04386591911315918
12,0.022108793258666992
13,0.02166581153869629
14,0.021811962127685547
15,0.02562403678894043
16,0.021743059158325195
17,0.02202892303466797
18,0.021851778030395508
19,0.021924972534179688
20,0.025135278701782227
21,0.0234220027923584
22,0.021780014038085938
23,0.02183389663696289
24,0.021890878677368164
25,0.02963113784790039
26,0.021724224090576172
27,0.024113893508911133
28,0.022145986557006836
29,0.03000617027282715
30,0.022550106048583984
31,0.0
32,0.02724289894104004
33,0.022124052047729492
34,0.023162841796875
35,0.021815061569213867
36,0.0248870849609375
37,0.021836042404174805
38,0.02194833755493164
39,0.021983861923217773
40,0.022013187408447266
41,0.02173471450805664
42,0.02248096466064453
43,0.022153854370117188
44,0.021749019622802734
45,0.02530503273010254
46,0.02192997932434082
47,0.021710872650146484
48,0.024007320404052734
49,0.023845911026000977
50,0.021904945373535156
51,0.021796703338623047
52,0.025400161743164062
53,0.021758317947387695
54,0.02205181121826172
55,0.04777789115905762
56,0.021867990493774414
57,0.028928041458129883
58,0.02551126480102539
59,0.021780014038085938
60,0.02208995819091797
61,0.02172112464904785
62,0.021884918212890625
63,0.02187323570251465
64,0.02190113067626953
65,0.021976947784423828
66,0.02194690704345703
67,0.02664780616760254
68,0.021947145462036133
69,0.023526906967163086
70,0.0221860408782959
71,0.02180194854736328
72,0.024066925048828125
73,0.021978139877319336
74,0.02243804931640625
75,0.0
76,0.030972957611083984
77,0.022340059280395508
78,0.05215811729431152
79,0.025150299072265625
80,0.021939992904663086
81,0.025791168212890625
82,0.021994829177856445
83,0.021992921829223633
84,0.025519132614135742
85,0.02333211898803711
86,0.02176809310913086
87,0.022367000579833984
88,0.02172112464904785
89,0.025248050689697266
90,0.022629976272583008
91,0.023587703704833984
92,0.022003173828125
93,0.02192401885986328
94,0.02495121955871582
95,0.02191472053527832
96,0.02182602882385254
97,0.024849891662597656
98,0.023860931396484375
99,0.02814507484436035
