,Time
0,0.01690220832824707
1,0.015874624252319336
2,0.015799999237060547
3,0.016569852828979492
4,0.016245126724243164
5,0.01607036590576172
6,0.028071165084838867
7,0.023214101791381836
8,0.015829801559448242
9,0.015733003616333008
10,0.016788005828857422
11,0.016155242919921875
12,0.016705036163330078
13,0.015902996063232422
14,0.01896500587463379
15,0.018896102905273438
16,0.015748977661132812
17,0.0177919864654541
18,0.015882253646850586
19,0.019129037857055664
20,0.016411304473876953
21,0.015793323516845703
22,0.016088008880615234
23,0.01574087142944336
24,0.01611495018005371
25,0.01606583595275879
26,0.01757502555847168
27,0.015744924545288086
28,0.01568007469177246
29,0.015961885452270508
30,0.016052961349487305
31,0.016004085540771484
32,0.02215886116027832
33,0.018245935440063477
34,0.0
35,0.03129220008850098
36,0.015887022018432617
37,0.017288923263549805
38,0.020009994506835938
39,0.015720844268798828
40,0.01715993881225586
41,0.015657901763916016
42,0.015870094299316406
43,0.015965938568115234
44,0.02580714225769043
45,0.018517017364501953
46,0.015770912170410156
47,0.019949913024902344
48,0.01662898063659668
49,0.016054153442382812
50,0.015849828720092773
51,0.016526222229003906
52,0.015823841094970703
53,0.016028165817260742
54,0.01598191261291504
55,0.016112089157104492
56,0.030182838439941406
57,0.015923023223876953
58,0.02109980583190918
59,0.016148090362548828
60,0.015794754028320312
61,0.01597905158996582
62,0.016506195068359375
63,0.016993999481201172
64,0.015758991241455078
65,0.020579814910888672
66,0.01923394203186035
67,0.01837897300720215
68,0.0159299373626709
69,0.016550779342651367
70,0.015938997268676758
71,0.015651702880859375
72,0.017512798309326172
73,0.021199941635131836
74,0.016039133071899414
75,0.018459796905517578
76,0.020082950592041016
77,0.016236066818237305
78,0.016351938247680664
79,0.018751144409179688
80,0.01807999610900879
81,0.015904903411865234
82,0.01613593101501465
83,0.020454883575439453
84,0.023067951202392578
85,0.017886877059936523
86,0.016102075576782227
87,0.01651477813720703
88,0.017038822174072266
89,0.016267061233520508
90,0.017315149307250977
91,0.015718936920166016
92,0.01581120491027832
93,0.015951871871948242
94,0.01773810386657715
95,0.01757216453552246
96,0.01574087142944336
97,0.019952058792114258
98,0.01648116111755371
99,0.015822172164916992
