,Time
0,0.3924710750579834
1,0.05749201774597168
2,0.07178187370300293
3,0.033982038497924805
4,0.03893399238586426
5,0.03899407386779785
6,0.04057002067565918
7,0.038949012756347656
8,0.0390772819519043
9,0.036247968673706055
10,0.04721689224243164
11,0.04410719871520996
12,0.042195796966552734
13,0.03968620300292969
14,0.04161381721496582
15,0.04448723793029785
16,0.05473208427429199
17,0.03670978546142578
18,0.045233964920043945
19,0.036576032638549805
20,0.039946794509887695
21,0.04317784309387207
22,0.03827214241027832
23,0.04178118705749512
24,0.03820991516113281
25,0.03858470916748047
26,0.03914785385131836
27,0.038958072662353516
28,0.03509807586669922
29,0.04159116744995117
30,0.03629899024963379
31,0.05191206932067871
32,0.04124188423156738
33,0.04273724555969238
34,0.03822612762451172
35,0.03766489028930664
36,0.03862309455871582
37,0.0376129150390625
38,0.03810596466064453
39,0.04112696647644043
40,0.04074430465698242
41,0.04040193557739258
42,0.040282249450683594
43,0.03519010543823242
44,0.03996086120605469
45,0.049101829528808594
46,0.036795854568481445
47,0.03672289848327637
48,0.0699162483215332
49,0.041593074798583984
50,0.037229061126708984
51,0.03788399696350098
52,0.03867983818054199
53,0.03718400001525879
54,0.03997611999511719
55,0.03697991371154785
56,0.03944873809814453
57,0.03816795349121094
58,0.04186582565307617
59,0.035659074783325195
60,0.048187255859375
61,0.043226003646850586
62,0.03744316101074219
63,0.037415266036987305
64,0.0557858943939209
65,0.036540985107421875
66,0.042196035385131836
67,0.046588897705078125
68,0.04440712928771973
69,0.04026007652282715
70,0.03784298896789551
71,0.03614521026611328
72,0.03856921195983887
73,0.03771185874938965
74,0.05871319770812988
75,0.03980898857116699
76,0.05575704574584961
77,0.04654502868652344
78,0.039071083068847656
79,0.037490129470825195
80,0.03970003128051758
81,0.04924893379211426
82,0.0375208854675293
83,0.037423133850097656
84,0.038396358489990234
85,0.03342700004577637
86,0.04085993766784668
87,0.03922677040100098
88,0.06119132041931152
89,0.04282498359680176
90,0.04803609848022461
91,0.03841090202331543
92,0.048619985580444336
93,0.05733299255371094
94,0.04930400848388672
95,0.038359880447387695
96,0.05511593818664551
97,0.03549981117248535
98,0.03895282745361328
99,0.03659176826477051
